DATE,MANDAY_HT,MANHOUR_HT,MANDAY_MT,MANHOUR_MT,BDPOCDISCIPLINE
3/30/2022,5,50,1,10,DECK
3/30/2022,7,70,1,10,E&I
3/30/2022,6,60,1,10,MECH
3/30/2022,12,120,2,20,PROD
3/30/2022,2,20,0,0,RES
3/31/2022,5,50,1,10,DECK
3/31/2022,6,60,1,10,E&I
3/31/2022,5,50,1,10,MECH
3/31/2022,13,130,2,20,PROD
3/31/2022,2,20,0,0,RES
4/1/2022,5,50,1,10,DECK
4/1/2022,6,60,1,10,E&I
4/1/2022,5,50,1,10,MECH
4/1/2022,13,130,2,20,PROD
4/1/2022,2,20,0,0,RES
4/2/2022,5,50,1,10,DECK
4/2/2022,6,60,1,10,E&I
4/2/2022,5,50,1,10,MECH
4/2/2022,13,130,2,20,PROD
4/2/2022,2,20,0,0,RES
4/3/2022,5,50,1,10,DECK
4/3/2022,6,60,1,10,E&I
4/3/2022,5,50,1,10,MECH
4/3/2022,13,130,2,20,PROD
4/3/2022,2,20,0,0,RES
4/4/2022,5,50,1,10,DECK
4/4/2022,6,60,1,10,E&I
4/4/2022,5,50,1,10,MECH
4/4/2022,13,130,2,20,PROD
4/4/2022,2,20,0,0,RES
4/5/2022,5,50,1,10,DECK
4/5/2022,6,60,1,10,E&I
4/5/2022,5,50,1,10,MECH
4/5/2022,13,130,2,20,PROD
4/5/2022,2,20,0,0,RES
4/6/2022,5,50,1,10,DECK
4/6/2022,6,60,1,10,E&I
4/6/2022,5,50,1,10,MECH
4/6/2022,13,130,2,20,PROD
4/6/2022,2,20,0,0,RES
4/7/2022,5,50,1,10,DECK
4/7/2022,8,80,1,10,E&I
4/7/2022,5,50,1,10,MECH
4/7/2022,13,130,2,20,PROD
4/7/2022,2,20,0,0,RES
4/8/2022,5,50,1,10,DECK
4/8/2022,8,80,1,10,E&I
4/8/2022,5,50,1,10,MECH
4/8/2022,13,130,2,20,PROD
4/8/2022,2,20,0,0,RES
4/9/2022,5,50,1,10,DECK
4/9/2022,8,80,1,10,E&I
4/9/2022,5,50,1,10,MECH
4/9/2022,13,130,2,20,PROD
4/9/2022,2,20,0,0,RES
4/10/2022,5,50,1,10,DECK
4/10/2022,8,80,1,10,E&I
4/10/2022,5,50,1,10,MECH
4/10/2022,13,130,2,20,PROD
4/10/2022,2,20,0,0,RES
4/11/2022,5,50,1,10,DECK
4/11/2022,8,80,1,10,E&I
4/11/2022,5,50,1,10,MECH
4/11/2022,13,130,2,20,PROD
4/11/2022,2,20,0,0,RES
4/12/2022,5,50,1,10,DECK
4/12/2022,8,80,1,10,E&I
4/12/2022,5,50,1,10,MECH
4/12/2022,13,130,2,20,PROD
4/12/2022,2,20,0,0,RES
4/13/2022,5,50,1,10,DECK
4/13/2022,8,80,1,10,E&I
4/13/2022,5,50,1,10,MECH
4/13/2022,13,130,2,20,PROD
4/13/2022,2,20,0,0,RES
4/14/2022,4,40,1,10,DECK
4/14/2022,7,70,1,10,E&I
4/14/2022,5,50,1,10,MECH
4/14/2022,13,130,2,20,PROD
4/14/2022,2,20,0,0,RES
4/15/2022,4,40,1,10,DECK
4/15/2022,7,70,1,10,E&I
4/15/2022,5,50,1,10,MECH
4/15/2022,13,130,2,20,PROD
4/15/2022,2,20,0,0,RES
4/16/2022,4,40,1,10,DECK
4/16/2022,7,70,1,10,E&I
4/16/2022,5,50,1,10,MECH
4/16/2022,13,130,2,20,PROD
4/16/2022,2,20,0,0,RES
4/17/2022,4,40,1,10,DECK
4/17/2022,7,70,1,10,E&I
4/17/2022,5,50,1,10,MECH
4/17/2022,13,130,2,20,PROD
4/17/2022,2,20,0,0,RES
4/18/2022,4,40,1,10,DECK
4/18/2022,7,70,1,10,E&I
4/18/2022,5,50,1,10,MECH
4/18/2022,13,130,2,20,PROD
4/18/2022,2,20,0,0,RES
4/19/2022,4,40,1,10,DECK
4/19/2022,7,70,1,10,E&I
4/19/2022,5,50,1,10,MECH
4/19/2022,13,130,2,20,PROD
4/19/2022,2,20,0,0,RES
4/20/2022,4,40,1,10,DECK
4/20/2022,7,70,1,10,E&I
4/20/2022,5,50,1,10,MECH
4/20/2022,13,130,2,20,PROD
4/20/2022,2,20,0,0,RES
4/21/2022,4,40,1,10,DECK
4/21/2022,7,70,1,10,E&I
